Finding Nemo;2003;Animation;8.2;Andrew Stanton
Raging Bull;1980;Biography;8.2;Martin Scorsese
Chinatown;1974;Drama;8.2;Roman Polanski
Gone with the Wind;1939;Drama;8.2;Victor Fleming
V for Vendetta;2005;Action;8.2;James McTeigue
Inside Out;2015;Animation;8.2;Pete Docter
Lock, Stock and Two Smoking Barrels;1998;Action;8.2;Guy Ritchie
The Thing;1982;Horror;8.2;John Carpenter
Dial M for Murder;1954;Crime;8.2;Alfred Hitchcock
El secreto de sus ojos;2009;Drama;8.2;Juan José Campanella
The Bridge on the River Kwai;1957;Adventure;8.2;David Lean
Hauru no ugoku shiro;2004;Animation;8.2;Hayao Miyazaki
Three Billboards Outside Ebbing, Missouri;2017;Comedy;8.1;Martin McDonagh
Trainspotting;1996;Drama;8.1;Danny Boyle
Gran Torino;2008;Drama;8.1;Clint Eastwood
Warrior;2011;Action;8.2;Gavin O'Connor
Fargo;1996;Crime;8.1;Joel Coen
Tonari no Totoro;1988;Animation;8.1;Hayao Miyazaki
Prisoners;2013;Crime;8.1;Denis Villeneuve
Million Dollar Baby;2004;Drama;8.1;Clint Eastwood
The Gold Rush;1925;Adventure;8.2;Charles Chaplin
Blade Runner;1982;Action;8.1;Ridley Scott
Catch Me If You Can;2002;Biography;8.1;Steven Spielberg
On the Waterfront;1954;Crime;8.1;Elia Kazan
The Third Man;1949;Film-Noir;8.1;Carol Reed
Bacheha-Ye aseman;1997;Drama;8.2;Majid Majidi
Ben-Hur;1959;Adventure;8.1;William Wyler
The General;1926;Action;8.2;Clyde Bruckman
12 Years a Slave;2013;Biography;8.1;Steve McQueen
Gone Girl;2014;Drama;8.1;David Fincher
Smultronstället;1957;Drama;8.1;Ingmar Bergman
The Deer Hunter;1978;Drama;8.1;Michael Cimino
Before Sunrise;1995;Drama;8.1;Richard Linklater
Harry Potter and the Deathly Hallows: Part 2;2011;Adventure;8.1;David Yates
In the Name of the Father;1993;Biography;8.1;Jim Sheridan
The Grand Budapest Hotel;2014;Adventure;8.1;Wes Anderson
Mr. Smith Goes to Washington;1939;Comedy;8.1;Frank Capra
Le salaire de la peur;1953;Adventure;8.2;Henri-Georges Clouzot
Sherlock Jr.;1924;Action;8.2;Buster Keaton
Room;2015;Drama;8.1;Lenny Abrahamson
Barry Lyndon;1975;Adventure;8.1;Stanley Kubrick
Salinui chueok;2003;Crime;8.1;Bong Joon Ho
Det sjunde inseglet;1957;Drama;8.1;Ingmar Bergman
Hacksaw Ridge;2016;Biography;8.1;Mel Gibson
Klaus;2019;Animation;8.1;Sergio Pablos
Relatos salvajes;2014;Comedy;8.1;Damián Szifron
The Big Lebowski;1998;Comedy;8.1;Joel Coen
How to Train Your Dragon;2010;Animation;8.1;Dean DeBlois
Mad Max: Fury Road;2015;Action;8.1;George Miller
Mary and Max.;2009;Animation;8.1;Adam Elliot
Monsters, Inc.;2001;Animation;8.1;Pete Docter
Jaws;1975;Adventure;8.1;Steven Spielberg
Pather Panchali;1955;Drama;8.3;Satyajit Ray
La passion de Jeanne d'Arc;1928;Biography;8.2;Carl Theodor Dreyer
Hotel Rwanda;2004;Biography;8.1;Terry George
Tôkyô monogatari;1953;Drama;8.2;Yasujirô Ozu
Dead Poets Society;1989;Comedy;8.1;Peter Weir
Platoon;1986;Drama;8.1;Oliver Stone
Rocky;1976;Drama;8.1;John G. Avildsen
Ford v Ferrari;2019;Action;8.1;James Mangold
Stand by Me;1986;Adventure;8.1;Rob Reiner
The Terminator;1984;Action;8.1;James Cameron
Rush;2013;Action;8.1;Ron Howard
Spotlight;2015;Biography;8.1;Tom McCarthy
Into the Wild;2007;Adventure;8.1;Sean Penn
Network;1976;Drama;8.1;Sidney Lumet
The Wizard of Oz;1939;Adventure;8.1;Victor Fleming
Logan;2017;Action;8.1;James Mangold
Groundhog Day;1993;Comedy;8.1;Harold Ramis
Ratatouille;2007;Animation;8.1;Brad Bird
The Exorcist;1973;Horror;8.1;William Friedkin
Before Sunset;2004;Drama;8.1;Richard Linklater
The Best Years of Our Lives;1946;Drama;8.1;William Wyler
The Incredibles;2004;Animation;8.0;Brad Bird
To Be or Not to Be;1942;Comedy;8.2;Ernst Lubitsch
La battaglia di Algeri;1966;Drama;8.1;Gillo Pontecorvo
Rebecca;1940;Drama;8.1;Alfred Hitchcock
The Grapes of Wrath;1940;Drama;8.1;John Ford
Hachi: A Dog's Tale;2009;Biography;8.1;Lasse Hallström
Cool Hand Luke;1967;Crime;8.1;Stuart Rosenberg
Amores perros;2000;Drama;8.1;Alejandro G. Iñárritu
Dersu Uzala;1975;Adventure;8.2;Akira Kurosawa
Pirates of the Caribbean: The Curse of the Black Pearl;2003;Action;8.0;Gore Verbinski
Les quatre cents coups;1959;Crime;8.1;François Truffaut
Persona;1966;Drama;8.1;Ingmar Bergman
Babam ve Oglum;2005;Drama;8.2;Cagan Irmak
La haine;1995;Crime;8.1;Mathieu Kassovitz
Life of Brian;1979;Comedy;8.0;Terry Jones
The Sound of Music;1965;Biography;8.1;Robert Wise
It Happened One Night;1934;Comedy;8.1;Frank Capra
Ah-ga-ssi;2016;Drama;8.1;Park Chan-wook
Gandhi;1982;Biography;8.1;Richard Attenborough
Aladdin;1992;Animation;8.0;Ron Clements
The Help;2011;Drama;8.1;Tate Taylor
Beauty and the Beast;1991;Animation;8.0;Gary Trousdale
Dances with Wolves;1990;Adventure;8.0;Kevin Costner
Jai Bhim;2021;Crime;8.9;T.J. Gnanavel
