,Title,Genre,Year,Metascore,Userscore,Director,Duration
860,13 Assassins,Action,2011,84,8.0,Takashi  Miike,141
861,Dracula: Pages from a Virgin's Diary,Horror,2003,84,5.8,Guy Maddin,73
862,Together,Drama,2001,84,7.9,Lukas Moodysson,106
864,Guy and Madeline on a Park Bench,Drama,2010,83,6.4,Damien Chazelle,82
865,Crazy Heart,Drama,2009,83,7.5,Scott Cooper,112
866,The Fool,Drama,2015,83,8.1,Yuriy Bykov,116
868,Stray,Documentary,2021,83,7.4,Elizabeth Lo,72
869,De Palma,Biography,2016,83,7.5,Jake Paltrow and Noah Baumbach,107
870,The Reason I Jump,Documentary,2021,83,8.0,Jerry Rothwell,82
871,A Little Princess,Drama,1995,83,7.5,Alfonso Cuarón,97
872,The Last Black Man in San Francisco,Drama,2019,83,7.1,Joe Talbot,121
873,Custody,Drama,2018,83,7.5,Xavier Legrand,93
874,Under the Shadow,Thriller,2016,83,7.6,Babak Anvari,84
875,Adaptation.,Drama,2002,83,8.1,Spike Jonze,114
876,Fighter,Documentary,2001,83,8.5,Amir Bar-Lev,91
879,Avatar,Action,2009,83,7.5,James Cameron,162
880,The Forbidden Room,Drama,2015,83,7.4,Evan Johnson and Guy Maddin,130
881,My Dinner with Andre,Biography,1981,83,6.8,Louis Malle,110
882,Network,Drama,1976,83,8.4,Sidney Lumet,121
883,An American in Paris,Drama,1951,83,6.8,Vincente Minnelli,114
884,The Secret of the Grain,Drama,2008,83,7.3,Abdel Kechiche,151
885,Trainspotting,Drama,1996,83,8.7,Danny Boyle,94
886,Welcome to the Dollhouse,Drama,1996,83,7.8,Todd Solondz,88
887,The Disciple,Drama,2021,83,7.5,Chaitanya Tamhane,127
888,The Graduate,Drama,1967,83,7.4,Mike Nichols,105
889,The Ground Beneath My Feet,Drama,2019,83,7.0,Marie Kreutzer,108
891,Fantastic Mr. Fox,Adventure,2009,83,8.3,Wes Anderson,87
892,In the Loop,Comedy,2009,83,7.9,Armando Iannucci,106
893,Bus 174,Crime,2003,83,7.6,Felipe Lacerda and José Padilha,122
894,Soul,Adventure,2020,83,8.2,Kemp Powers and Pete Docter,100
895,Osama,Drama,2004,83,6.5,Siddiq Barmak,83
896,Amores Perros,Drama,2001,83,5.4,Alejandro González Iñárritu,154
897,The Gleaners & I,Documentary,2001,83,8.6,Agnès Varda,82
898,The Salt of the Earth,Biography,2015,83,8.3,Juliano Ribeiro Salgado and Wim Wenders,110
899,Glory,Drama,2017,83,7.0,Kristina Grozeva and Petar Valchanov,101
900,Rat Film,Documentary,2017,83,5.3,Theo Anthony,82
902,Office,Comedy,2015,83,5.6,Johnnie To,119
903,Being There,Drama,1979,83,7.4,Hal Ashby,130
905,Kiki's Delivery Service,Adventure,1989,83,8.5,Hayao Miyazaki,103
906,Moonstruck,Drama,1987,83,8.4,Norman Jewison,102
907,Once Upon a Time ... in Hollywood,Drama,2019,83,7.5,Quentin Tarantino,161
908,Raising Victor Vargas,Drama,2003,83,6.3,Peter Sollett,88
909,Who Framed Roger Rabbit,Mystery,1988,83,8.6,Robert Zemeckis,104
911,The Cave,War,2019,83,7.0,Firas Fayyad,107
912,'71,Action,2015,83,7.5,Yann Demange,99
913,The Guilty,Drama,2018,83,8.0,Gustav Möller,85
914,Blackfish,Drama,2013,83,8.2,Gabriela Cowperthwaite,83
915,The Witch,Mystery,2016,83,7.4,Robert Eggers,92
916,Prayers for the Stolen,Drama,2021,83,7.9,Tatiana Huezo,110
917,Juliet of the Spirits (re-release),Drama,2001,83,7.2,Federico Fellini,137
918,I Wish I Knew,History,2020,83,5.3,Zhang Ke Jia,116
919,Limbo,Drama,2021,83,7.1,Ben Sharrock,104
921,Corpse Bride,Fantasy,2005,83,7.9,Mike Johnson and Tim Burton,77
922,Project Nim,Documentary,2011,83,7.5,James Marsh,93
924,The Wind Rises,Biography,2013,83,8.3,Hayao Miyazaki,126
926,Turning Red,Adventure,2022,83,6.4,Domee Shi,100
927,The Lighthouse,Drama,2019,83,8.0,Robert Eggers,109
928,Spider-Man 2,Action,2004,83,8.5,Sam Raimi,127
930,Rose Plays Julie,Drama,2021,83,5.3,Christine Molloy and Joe Lawlor,100
931,Saint Frances,Drama,2020,83,6.9,Alex Thompson,106
932,20 Feet from Stardom,Documentary,2013,83,7.3,Morgan Neville,91
933,When We Were Kings,History,1996,83,8.5,Leon Gast,89
934,Kurt Cobain: Montage of Heck,Biography,2015,83,7.7,Brett Morgen,145
935,20th Century Women,Drama,2016,83,7.3,Mike Mills,119
937,Paranoid Park,Drama,2008,83,6.6,Gus Van Sant,85
938,Pina,Musical,2011,83,7.2,Wim Wenders,106
939,Animal Kingdom,Drama,2010,83,7.8,David Michôd,113
940,Rosie,Drama,2019,83,6.6,Paddy Breathnach,86
941,A Room with a View,Drama,1986,83,7.3,James Ivory,117
942,Hugo,Mystery,2011,83,7.7,Martin Scorsese,127
943,Tenebrae,Mystery,1984,83,6.2,Dario Argento,101
944,The LEGO Movie,Action,2014,83,8.3,Christopher Miller and Phil Lord,100
945,Gloria,Drama,2014,83,7.2,Sebastián Lelio,110
946,Come from Away,Drama,2021,83,7.2,Christopher Ashley,106
947,Ixcanul,Drama,2016,83,8.3,Jayro Bustamante,93
948,The Selfish Giant,Drama,2013,83,7.7,Clio Barnard,91
949,The Day He Arrives,Drama,2012,83,7.3,Sang-soo Hong,79
950,Hadewijch,Drama,2010,83,5.4,Bruno Dumont,120
951,Taxidermia,Drama,2009,83,7.5,György Pálfi,91
952,Drag Me to Hell,Thriller,2009,83,8.2,Sam Raimi,99
953,The King of Kong: A Fistful of Quarters,Sport,2007,83,8.2,Seth Gordon,79
954,Spider,Drama,2002,83,7.2,David Cronenberg,98
955,Manhattan,Drama,1979,83,8.3,Woody Allen,96
958,Seymour: An Introduction,Biography,2015,83,4.8,Ethan Hawke,84
959,56 Up,Documentary,2013,83,8.4,Michael Apted and Paul Almond,144
960,Triad Election,Drama,2007,83,6.9,Johnnie To,92
961,Milk,Biography,2008,83,7.6,Gus Van Sant,128
962,Roll Red Roll,Documentary,2019,83,8.1,Nancy Schwartzman,80
964,From Russia with Love,Action,1964,83,8.0,Terence Young,115
965,Who We Are Now,Drama,2018,83,6.0,Matthew Newton,95
966,Burning Bush,Biography,2014,83,7.4,Agnieszka Holland,231
967,Enter the Dragon,Action,1973,83,7.7,Robert Clouse,102
968,Cutie and the Boxer,Documentary,2013,83,7.1,Zachary Heinzerling,82
969,U2 3D,Music,2008,83,8.0,Catherine Owens and Mark Pellington,85
970,One Night in Miami,Drama,2020,83,6.9,Regina King,114
972,Belle,Adventure,2022,83,7.7,Mamoru Hosoda,121
973,Vera Drake,Drama,2004,83,7.5,Mike Leigh,125
974,Kill Bill: Vol. 2,Action,2004,83,8.2,Quentin Tarantino,136
975,The Apostle,Drama,1997,83,5.7,Robert Duvall,134
976,Babe,Adventure,1995,83,7.7,Chris Noonan,89
977,Private Life,Drama,2018,83,7.8,Tamara Jenkins,123
978,Lake of Fire,Documentary,2007,83,7.1,Tony Kaye,152
979,Red Army,Biography,2014,83,7.7,Gabe Polsky,76
980,The Miracle Worker,Biography,1962,83,7.1,Arthur Penn,106
981,Porco Rosso,Adventure,1992,83,8.0,Hayao Miyazaki,94
983,The Flat,Documentary,2012,83,8.2,Arnon Goldfinger,97
984,"Bloody Nose, Empty Pockets",Documentary,2020,83,7.3,Bill Ross IV and Turner Ross,98
985,Blind,Drama,2015,83,7.6,Eskil Vogt,96
986,The Magdalene Sisters,Drama,2003,83,7.9,Peter Mullan,119
987,Superman II,Action,1981,83,7.6,Richard Donner and Richard Lester,127
988,Tyson,Sport,2009,83,8.0,James Toback,90
989,101 Dalmatians,Adventure,1961,83,7.9,Clyde Geronimi and Hamilton Luske and Wolfgang Reitherman,79
990,Henry V,Action,1989,83,7.2,Kenneth Branagh,137
991,The Sting,Drama,1973,83,8.2,George Roy Hill,129
992,13th,Crime,2016,83,7.7,Ava DuVernay,100
994,Footnote,Drama,2012,83,6.3,Joseph Cedar,103
995,Being 17,Drama,2016,83,8.2,André Téchiné,116
996,The White Diamond,Adventure,2005,83,7.2,Werner Herzog,90
997,Free Solo,Documentary,2018,83,8.1,Elizabeth Chai Vasarhelyi and Jimmy Chin,100
998,Saint Maud,Drama,2021,83,7.0,Rose Glass,84
999,Trouble the Water,Documentary,2008,83,7.9,Carl Deal and Tia Lessin,93
1000,Mustang,Drama,2015,83,7.7,Deniz Gamze Ergüven,97
1001,Palm Springs,Mystery,2020,83,7.7,Max Barbakow,90
1002,James White,Drama,2015,83,7.0,Josh Mond,85
1003,It Follows,Mystery,2015,83,7.9,David Robert Mitchell,100
1004,Driveways,Drama,2020,83,8.0,Andrew Ahn,83
1005,Don't Think Twice,Drama,2016,83,7.2,Mike Birbiglia,92
1006,The Happiest Day in the Life of Olli Mäki,Biography,2017,83,8.2,Juho Kuosmanen,92
